Sample.Name,Notes,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Blanks
180208_Smp_L2C1DCMless20m_B,,RP_POS Metabolomics,1:24,8,CyanoAq,L2C1DCMless20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C33DCMplus20m_B,,RP_POS Metabolomics,1:25,8,CyanoAq,L1C33DCMplus20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C32DCMless20m_B,,RP_POS Metabolomics,1:26,8,CyanoAq,L1C32DCMless20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C2DCM_B,,RP_POS Metabolomics,1:27,8,CyanoAq,L2C2DCM,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Blk_SWBlk_2,,RP_POS Metabolomics,1:28,8,CyanoAq,,1,1,
180208_Smp_L2C2DCMplus20m_B,,RP_POS Metabolomics,1:29,8,CyanoAq,L2C2DCMplus20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C33DCMplus10m_B,,RP_POS Metabolomics,1:30,8,CyanoAq,L1C33DCMplus10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Poo_TruePoo_Half3,,RP_POS Metabolomics,1:05,8,CyanoAq,Poo,1,0.5,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Poo_Sept29QC_3,,RP_POS Metabolomics,1:04,8,CyanoAq,,1,1,
180208_Smp_L1C32DCMless10m_C,,RP_POS Metabolomics,1:31,8,CyanoAq,L1C32DCMless10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C1DCMless20m_C,,RP_POS Metabolomics,1:32,8,CyanoAq,L2C1DCMless20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C33DCMplus20m_C,,RP_POS Metabolomics,1:33,8,CyanoAq,L1C33DCMplus20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C2DCM_C,,RP_POS Metabolomics,1:34,8,CyanoAq,L2C2DCM,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Blk_SWBlk_3,,RP_POS Metabolomics,1:35,8,CyanoAq,,1,1,
180208_Smp_L1C33DCMplus10m_C,,RP_POS Metabolomics,1:36,8,CyanoAq,L1C33DCMplus10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C32DCMless20m_C,,RP_POS Metabolomics,1:37,8,CyanoAq,L1C32DCMless20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
