"Description","Value","Replicate.Name","Area.Value","Area.with.QC","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.name","Run.Type","SN.Flag","Area.Min.Flag","RT.Flag","Blank.Flag","all.Flags"
"Hello! Welcome to the world of MSDIAL QE Quality Control! ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minimum area for a real peak: ",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT flexibility: ",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blank can be this fraction of a sample: ",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S/N ratio: ",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Processed on: ",1575678334.44824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS12C115m_B",33807,33807,808.121,5.489,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS12C115m_C",30872,30872,808.12,5.48,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS12C1175m_A",674,NA,808.119,5.815,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS12C1175m_B",590,NA,808.119,5.439,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS12C1175m_C",1097,1097,808.119,5.481,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C2DCM_A",18398,18398,808.119,5.489,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C2DCM_B",14813,14813,808.119,5.488,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C2DCM_C",14458,14458,808.119,5.485,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C315m_A",18434,18434,808.12,5.491,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C315m_B",9776,9776,808.119,5.493,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C315m_C",24431,24431,808.12,5.481,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C2175m_A",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS13C2175m_B",3265,3265,808.119,5.489,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS13C2175m_C",1226,1226,808.119,5.484,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C2DCM_A",2684,2684,808.119,5.517,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C2DCM_B",17957,17957,808.119,5.485,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C2DCM_C",25005,25005,808.121,5.487,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C215m_A",25594,25594,808.12,5.489,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C215m_B",27005,27005,808.12,5.487,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C215m_C",27367,27367,808.121,5.491,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C2175m_A",8919,8919,808.119,5.475,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C2175m_B",8926,8926,808.119,5.484,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS14C2175m_C",1991,1991,808.119,5.576,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Std_4uMStdMix4InH2O_1",17883748,17883748,808.12,5.461,NA,3793,"Acetyl CoA","std",NA,NA,NA,NA,NA
NA,NA,"180920_Std_4uMStdMix4InH2O_2",25104512,25104512,808.119,5.466,NA,3793,"Acetyl CoA","std",NA,NA,NA,NA,NA
NA,NA,"180920_Std_4uMStdMix4InMatrix_1",17331960,17331960,808.12,5.472,NA,3793,"Acetyl CoA","std",NA,NA,NA,NA,NA
NA,NA,"180920_Std_4uMStdMix4InMatrix_2",16943274,16943274,808.12,5.47,NA,3793,"Acetyl CoA","std",NA,NA,NA,NA,NA
NA,NA,"180920_Std_H2OinMatrix_1",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","std",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Std_H2OinMatrix_2",889,NA,808.119,5.477,NA,3793,"Acetyl CoA","std",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Blk_SWBlk_1",2138957,2138957,810.127,5.489,1126.63,3799,"Acetyl CoA, 13C2","blk",NA,NA,NA,NA,NA
NA,NA,"180920_Blk_SWBlk_2",2901210,2901210,810.127,5.482,1356.295,3799,"Acetyl CoA, 13C2","blk",NA,NA,NA,NA,NA
NA,NA,"180920_Blk_SWBlk_3",2646052,2646052,810.127,5.48,1777.324,3799,"Acetyl CoA, 13C2","blk",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full1",1923911,1923911,810.127,5.48,652.0282,3799,"Acetyl CoA, 13C2","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full2",483819,483819,810.127,5.504,414.1682,3799,"Acetyl CoA, 13C2","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full3",1661476,1661476,810.127,5.483,1111.025,3799,"Acetyl CoA, 13C2","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full4",1615521,1615521,810.127,5.484,1034.626,3799,"Acetyl CoA, 13C2","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full5",1537379,1537379,810.127,5.482,556.3076,3799,"Acetyl CoA, 13C2","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Half1",1549369,1549369,810.127,5.481,635.1659,3799,"Acetyl CoA, 13C2","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Half2",545204,545204,810.128,5.508,450.4419,3799,"Acetyl CoA, 13C2","poo",NA,NA,NA,NA,NA
